Strain	Organ	Age	Ace	Acta2	Actb	Adra1a	Adra1d	Adrb1	Agt	Agtr1a	Agtrap	Ak2	Apln	Arg1	Arg2	Bcl2	Bcl6	Bmpr2	Casp3	Casp8	Ccl5	Ccr1	Ccr5	Cd86	Cdkn1a	Cnbp	Ctsd	Ctsl	Cyp19a1	Ebf1	Egr1	Eif4e	Ephb1	Ephx2	Esr1	Esr2	F2r	Fkbp1a	Fmo2	Fosl1	Foxo1	Gapdh	Gja	Hcrtr1	Hgd	Hif1a	Hmgb1	Hsd17b13	Hspd1	Il1b	Il6	Itga5	Itpr1	Jun	Ldha	Lipg	Ltb4r	Mif	Myd88	Nox4	Npr1	Nts	Ogn	Plgf	Psap	Ptgr1	Rela	Ren	Renbp	Rgs1	Rhoa	Rictor	Rpl13a	S100a4	Scx	Slc1a4	Smad1	Smad3	Spp1	Stat3	Tgfb1	Th	Thbs1	Timp3	Tlr3	Tlr4	Tnf	Uts2	Zbtb16
SHR	CVL	0	7.841048	1.716859	15.09164115	3.798647086	3.774338874	2.151664621	13.02973883	5.296272613	7.950661302	7.759518738	7.222635515	8.386299587	7.046865	3.517333122	4.958066399	7.678804059	8.346141875	3.361282036	2.130309764	1.921982358	6.969338	3.516627757	4.56948277	12.59413486	13.33221181	11.62407673	0.655224348	6.049330727	6.028657159	11.58858	7.818343571	7.627428729	3.862427201	3.297159289	7.843564	10.91205909	3.562107682	2.700867421	4.253505733	15.57718593	11.07252206	6.402397017	1.901910038	10.52135276	9.849666	3.1777826	11.7241782	2.504637475	1.019031457	3.963209	6.711542378	6.833137839	12.98261417	1.471103471	0.988707475	9.388245	6.111720962	3.023528086	6.419955877	6.375051001	6.70551612	6.040321547	14.33154337	6.257982738	7.959284566	3.687186268	7.762741	3.654111454	9.913083	6.716081346	10.417	4.801269872	4.791257901	7.799233076	7.75080804	5.966579972	12.40963	8.278275375	2.853056894	10.1801799	1.741241	8.738268908	6.445720668	4.738912027	2.188797	5.238255735	4.6684166
SHR	CVL	0	7.897159	1.681941	15.03670443	3.872371791	4.177327873	2.122541893	13.00297457	5.194378956	8.205850594	7.665584486	7.98545166	8.169801156	7.070114	3.862333527	5.030871893	8.135981078	8.03793836	3.2865672	2.193261599	1.885128531	6.781793	3.437963612	4.551300629	12.42527321	13.17177089	11.48463972	0.596291623	6.174826407	6.562650397	11.31761	8.589459266	7.431196294	4.042621914	3.505836496	8.154367	11.86371385	3.489043619	2.88348432	4.155642981	15.41947149	10.99611069	6.512839966	1.781677725	10.73008289	9.672726	3.265775229	11.6585988	2.606173169	1.002083383	4.192421	6.397192601	8.274792074	12.68989153	1.659156027	0.958814922	9.331808	6.340021533	2.783349948	6.954882426	6.072209077	6.361918696	6.272932412	14.25749093	6.066466154	7.957098	3.883360681	7.634171	3.938352931	9.858842	6.757008562	10.40299	4.729306344	5.37275692	8.404620285	8.641242762	5.960597445	12.35961	8.093620878	3.084277023	10.49143848	1.70629	8.791246535	6.793362382	4.804115598	1.993516	5.455557255	4.924110297
SHR	CVL	0	7.684928	1.659488	15.10440249	3.95648932	3.919031075	2.136932272	13.0211625	5.732095108	8.095423243	7.781228634	7.599254562	8.478009716	7.116906	3.442818585	4.853764877	7.722012263	8.176030725	3.390166519	2.185137818	1.823256966	7.056243	3.606291661	4.554785867	12.61305433	13.24026492	11.68355273	0.603436791	6.136216075	6.024999687	11.55935	8.221573587	7.644186853	4.025786534	3.260275836	8.222586	11.6071591	3.59968245	2.707151464	4.24455387	15.49845962	11.15566726	6.617013217	1.683772794	10.86008695	10.01734	3.483459226	11.78502185	2.637610594	1.051498135	4.330297	6.324680967	7.730612861	13.04837477	1.501456954	0.890850462	9.378063	5.945402061	2.812945733	6.47724307	6.507997811	6.386065433	5.958140866	14.26803981	6.20364742	7.983440289	3.974855388	7.901147	4.005524488	10.16292	6.325497806	10.47795	5.107079506	4.8142049	8.231209907	8.16207958	5.844491461	12.27354	8.239435272	2.864776243	10.36866061	1.643415	8.793199041	6.655718752	4.713034833	2.125641	4.842545127	4.649548939
SHR	CVL	0	7.794123	1.64983	14.98609661	3.993268895	4.010501155	2.178017188	12.97088737	5.56797275	7.957471254	7.926002614	7.869804601	8.289923828	6.956438	3.744738233	4.777380941	7.880300917	8.145418316	3.207313972	2.166085454	1.955739233	7.065092	3.504329052	4.22893901	12.56054225	13.13834778	11.57579209	0.62405184	5.984801099	6.486077895	11.51904	8.481849237	7.512068079	3.866265785	3.363969089	8.238045	11.8538529	3.627905437	2.709230733	4.00053717	15.39012464	11.08529224	6.597248897	1.715763803	11.02040322	9.833652	3.322116327	11.76161767	2.541838517	1.034487069	4.156848	6.75484668	8.005495694	12.85879717	1.539731678	0.914355827	9.188259	6.441438244	2.761524301	6.710590779	6.822766999	6.541126085	5.883986519	14.31049527	6.025863635	8.083445654	3.706261898	7.71748	3.848021127	10.1261	6.54795921	10.2924	4.515122312	5.007434027	8.244031501	8.38401232	6.024108688	12.30357	8.128360473	2.945211003	10.35841621	1.674807	8.777373035	6.643977043	4.754540667	2.143133	5.218230929	4.795234557
SHR	CVL	0	7.999964	1.64548	14.91560754	3.947905893	4.478239452	2.302317587	12.85592042	5.534100644	7.903193847	7.575054124	7.809351758	8.218204506	6.772358	3.530777416	4.834892629	8.403079205	8.083518031	3.518331787	2.091435265	1.848907902	6.897384	3.469645449	4.236459654	12.42980695	13.12918939	11.44215299	0.59634344	6.155180184	6.789655739	11.40719	9.190971317	7.487517117	4.263781828	3.428649327	8.2454	12.03343874	3.687632429	2.676547508	4.521793212	15.34991291	11.01001544	6.467194378	1.746550831	10.86083363	9.734328	3.144021559	11.67162915	2.425227468	1.002144009	4.216119	6.600461343	8.33803906	12.77359525	1.488303598	0.92140945	9.134237	5.916912052	2.714952129	7.307253322	6.631251684	6.586386156	5.877019759	14.23160748	6.199245422	8.194352717	3.58707565	7.730924	3.767812628	10.04332	6.786097763	10.30815	4.435802344	5.688130395	8.389340206	8.757660745	5.79706936	12.05098	7.931280992	3.056353732	10.0382577	1.841623	8.659839853	6.505902026	4.94951612	1.993612	4.85863036	4.924759605
SHR	CVL	2	7.651681	1.57853	14.99600489	3.839673236	3.999243638	2.170496538	12.86316896	5.368311839	7.924167063	7.953328003	7.72482241	8.482568261	6.738632	3.56355074	4.887970959	7.815582877	8.227415687	3.588189175	2.040120783	1.942414927	7.006328	3.642574591	4.057778796	12.69219074	13.15880144	11.47939591	0.687948003	6.314749649	6.821651135	11.60868	8.31883835	7.363972814	4.022534957	3.415789385	8.144787	11.98392677	3.692786991	2.802386644	4.195969155	15.39936584	11.03335857	6.53295021	1.780122835	10.7835523	9.880127	3.236695654	11.86363532	2.494197128	1.037008857	4.376646	6.834640286	8.046632738	12.86678683	1.534856256	0.860648899	9.234361	6.231577126	2.804586224	6.59079566	6.632649308	6.632700723	6.074998896	14.21343528	6.564104517	7.879778848	3.642143141	7.901045	3.636660175	9.883289	6.56485461	10.48933	4.726045128	5.400979832	8.26149129	8.622420376	6.348770765	12.60786	7.766710681	2.889722857	10.6917899	1.603321	8.860451788	6.707653586	4.577964321	2.097003	5.218840125	4.849942418
SHR	CVL	2	7.719908	1.583681	14.97271436	4.117348584	4.242435223	2.548518519	12.90084715	5.602365309	7.966821681	7.83912767	7.8524682	8.237904622	6.669475	3.69409539	5.037375546	7.888901202	8.160698091	3.621693002	1.990039956	1.929495627	6.802175	3.633025166	4.397368322	12.51068493	13.12521759	11.4163886	0.580638551	6.173779416	6.755627524	11.43566	8.708860178	7.449049795	4.04002024	3.382659599	8.355091	11.97121944	3.699346988	2.660770499	4.794159347	15.30247606	11.12139064	6.5504712	1.736959346	10.74259803	9.817021	3.09219277	11.81968276	2.536471831	0.983733252	4.390737	6.652825846	8.210092846	12.79248209	1.517314818	0.864537422	9.322278	6.059996308	2.919189329	6.913706415	6.165516162	6.659150199	5.881909234	14.19294854	6.357786517	8.092354152	3.821998488	7.776941	3.749454756	9.904454	6.128848113	10.50413	4.841602509	5.579174724	8.228476733	8.548154221	6.190305001	12.58862	7.737256398	2.746213363	10.90465741	1.697262	8.865308517	6.735437435	5.049567819	2.025009	4.935370312	5.360501361
SHR	CVL	2	7.930335	1.598212	15.05008607	4.139788357	4.096699662	2.245485652	12.86730693	5.466672336	8.10523087	7.749629684	7.612014964	8.426602717	6.628585	3.978680225	4.724465037	8.035863077	8.002449358	3.394970544	2.074645924	1.80098633	6.697585	3.462262029	3.979771983	12.44739161	13.16864385	11.19091038	0.590102204	6.18347576	6.897724912	11.35632	8.848258842	7.188223437	4.097088997	3.384398102	8.19611	11.94763789	3.490376852	2.649568648	4.356924716	15.3488047	10.98100596	6.530673191	1.662983728	10.98921357	9.64047	3.355759556	11.81492657	2.698271699	0.99483652	4.391714	6.606327958	8.09714121	12.69954368	1.442177315	0.875505371	9.265602	5.988107636	2.930441163	6.911259943	6.259105596	6.276008169	5.909504017	14.34402367	6.17295093	8.245937346	3.644875556	7.653971	3.439445361	9.877081	6.939425338	10.2396	4.851463621	5.344604625	8.380289492	8.540535329	6.001390086	12.45538	7.675067417	2.874914371	10.6833229	1.846174	8.804843212	6.204813933	4.767734605	2.318319	4.657975831	4.702900414
SHR	CVL	2	7.868101	1.715417	15.14051611	3.912654424	4.236435061	2.492332098	12.81520372	5.25960132	8.071712328	7.772709207	7.913491072	8.173327323	6.809704	3.869412937	4.684086895	8.026866194	7.939272456	3.309331444	2.091195572	1.945781804	6.669754	3.508555171	4.254551831	12.49887169	13.13109456	11.22793714	0.584989059	6.16917319	6.709285887	11.53692	8.821433357	7.36579337	4.085354485	3.195056895	8.402253	11.84339972	3.551286436	2.627382189	4.559716638	15.18928206	11.14836655	6.467661958	1.808163393	10.94517867	9.89198	3.169395389	11.78377232	2.55600417	1.142705696	4.429437	6.405016524	8.365455368	12.73856745	1.498597351	0.869587987	8.724119	5.990415947	2.972326319	6.979230704	6.269729269	6.617077656	5.947879773	14.37909769	5.744552354	8.121438854	3.692230543	7.654535	3.746028144	9.886647	6.804730989	10.09061	4.524178437	5.388232994	8.375573645	8.67156826	5.90516164	12.12478	7.84747967	2.959879692	10.13237876	1.709599	8.833586384	6.703086917	4.705670283	2.237181	4.861519958	4.932341028
SHR	CVL	2	7.797924	1.594179	15.07464396	4.017202061	4.182578013	2.380920422	12.75007264	5.609198243	8.057332565	7.835660366	7.809481348	8.429462746	6.669204	3.648343949	4.784669822	7.709067045	8.022504742	3.499028851	2.067559733	1.796571887	6.662574	3.418270013	4.011807107	12.56175566	13.18960346	11.2846129	0.587470118	6.035962824	6.708540045	11.56733	8.768312689	7.222553535	4.008078589	3.340946079	8.184458	11.90780371	3.410500601	2.826152996	4.484343718	15.3792814	10.87325891	6.580310173	1.65886604	10.84034431	9.819696	3.099960157	11.9017863	2.504381369	0.991751382	4.290666	6.668978702	8.115294101	12.88918524	1.438494834	0.872461727	9.315222	5.870002654	3.104645849	6.888994895	6.535652228	6.353860869	6.186667419	14.26707078	6.242113683	8.154442976	3.948847096	7.644941	3.790095496	9.84821	6.639154156	10.46671	4.571072947	5.665924961	8.367841974	8.632659536	6.123151124	11.93396	7.712216252	2.738349919	10.78583362	1.618982	8.659272648	6.593920598	4.39219018	1.977093	5.1773371	4.995248586
