AnimalID	SampleID	Age	Strain	Organ	Il1b	Tgfb1	Il1a	Il6	Il10	Ccl5	Hmgb1	Tnf	Cxcr3	Th	Dbh	Adrb2	Adrb1	Adra1a	Adra1b	Cacna1d	Gja1	Ace	Agt	Agtr1	Ren	Agtrap
4S-1	4S-AD-1	4	SHR	Adrenal	0.924069723	0.258732285	0.223031977	0	1.598360688	0.177142198	0.617130011	0.653113045	1.307427573	0.070075886	-0.326485333	0.186655515	-4.32147412	-0.556230848	0.071784535	1.217610893	1.037829038	0	-1.659169738	0.70782585	-0.222571428	0.58633247
4S-2	4S-AD-2	4	SHR	Adrenal	0.730528823	0.139195175	0.079807067	-0.148240556	-1.729508723	0.040533658	0.11508355	-1.626418185	-2.419619808	-2.445841771	-2.636930793	-0.186655515	-0.806496611	1.840420683	0.110790935	-0.524071728	0.344742664	0	0.049687523	-0.10376738	-0.163340088	-0.08705972
4S-3	4S-AD-3	4	SHR	Adrenal	1.816203978	0.6701854	-0.862776457	-1.376868645	0.684236623	-0.216201278	1.281873815	1.31486587	0.575082638	0.994929304	0.604453323	0.48158424	-1.335540563	-0.685262843	-0.07094653	-0.054570753	1.201236509	0.088905605	-1.382440053	0.961758565	0.163340088	0.723562735
4W-1	4W-AD-1	4	WKY	Adrenal	-1.112615918	-1.122517895	1.165690245	0.411746846	-0.684236623	-0.550638173	-0.65707374	-0.653113045	-0.575082638	-0.346914891	-0.044258073	-1.041626055	0	0.607776993	-0.593576955	0.054570753	-1.356963757	0	1.385874793	-1.45668509	8.475893143	-0.72240119
4W-2	4W-AD-2	4	WKY	Adrenal	-0.766029908	-0.139195175	-1.165690245	2.03320945	-3.341184873	0.542345908	-0.11508355	-1.027006365	-1.110790658	0.810742789	0.576127648	-0.406143695	-0.356884146	0.241899853	-0.532931385	0.551057343	-0.344742664	0	0.718162113	0.10376738	-1.050152568	0.08705972
4W-3	4W-AD-3	4	WKY	Adrenal	-0.730528823	-1.22400814	0.744731006	0.15507622	1.186635173	-0.040533658	-0.252884755	2.37174161	1.695228228	-0.070075886	0.044258073	1.45111705	2.370483455	-0.241899853	0.07094653	-0.267715263	-1.479982822	-0.429249615	-0.049687523	-1.186620705	6.724270588	-0.314501325
4S-1	4S-BS-1	4	SHR	Brainstem	0.0150401	-0.270095575	0.35824626	-0.445173788	-2.479201348	1.41039221	-1.716105661	1.570958015	1.31021168	-10.57305049	-3.866905333	2.52701435	1.520491833	4.13707164	5.37482203	-3.88705876	-1.059355928	0.46336404	-2.55112514	-1.9471977	5.79526223	-1.8137409
4S-2	4S-BS-2	4	SHR	Brainstem	0.514169135	0	2.414989975	0.445173788	-0.241094183	1.924576665	-1.008350076	2.44278735	1.920087095	-8.591994505	-10.90858352	3.551748345	3.053389268	5.253711625	6.474463015	-1.539327785	0	1.083992635	-3.098837635	-2.008165935	5.001619025	-1.253619605
4S-3	4S-BS-3	4	SHR	Brainstem	-0.57229438	0.858493745	-0.614866631	2.686822013	-0.658604908	0	1.254572879	0.245034885	0.01276184	2.91210476	2.02846211	-0.16340675	-0.919285438	-2.34457931	-0.24528675	0	1.909953641	0	-2.12728331	1.55868701	0	1.98544883
4S-4	4S-BS-4	4	SHR	Brainstem	0	0.070661395	-4.42663511	-2.243479968	0.241094183	-0.48291589	1.129663928	-0.506271245	0	1.491027062	0.83961271	-0.15097865	-0.915883578	0	0	0.29989245	1.714471337	-0.75955924	0.97915034	2.1644311	-1.66193321	1.67347604
