Strain	Organ	Age	Smp-Gene ID	Casp3	Casp8	Egr1	Bcl2	Smad1	Cnbp	Ctsd	Ptgr1	Ephx2	F2r	Itpr1	Slc1a4	Ccl5	Cd86	Fkbp1a	Hspd1	Rela	Myd88	Hmgb1	Sirt1	Bcl6	Ebf1	Il1b	Il10	Ilrn	Ccr5	Tlr4	Uts2	Ccr1	Bmpr2	Tnf	Ctsl	Il6	Cd36	Hsd17b13	Lipg	Psap	Hgd	Ldha	Nts	Rhoa	Rictor	Ak2	Ephb1	Foxo1	Eif4e	Fmo2	Arg2	Nox4	Ltb4r	Esr1	Esr2	Acta2	Rgs1	Arg1	Smad3	Adra1d	Fosl1	Scx	Zbtb16	Tlr3	Apln	Agtrap	Ace	Adrb1	Agt	Agtr1a	Ren	Tgfb1	Renbp	Npr1	Hcrtr1	Gapdh	Actb	Rpl13a	Gja	Cyp19a1	Adra1a	Th	Spp1	Jun	Plgf	Timp3	Cdkn1a	Hif1a	Itga5	E2f1	Ogn	Stat3	Mif	S100a4	Thbs1
SHR	Kidney	8	S.8.F.1.Kd.1	0.495615647	0.038209674	-0.424340923	-0.964950475	-0.024663964	0.434393929	0.790747177	-0.212045649	-1.655894862	-0.105684793	0.372087929	-0.300058713	0.721500679	0.29805901	0.070297801	0.493666497	-0.129031728	0.548225823	0.287262339	0.826669799	-2.151044956	-0.020179951	-0.067232868	0.41206029	-0.020550611	0.333669853	-0.134924641	-0.897204034	0.204043717	0.017786732	-1.267005685	0.568688363	NA	-0.91953616	-0.33649028	1.329618425	0.599557403	0.225093216	0.214733815	NA	0.290562459	0.323318826	1.008448617	0.146360109	0.05465029	0.600955661	1.247585814	-0.822476175	1.408751875	-1.163862786	0.485191361	1.002345156	0.629931733	0.62063937	-0.481424015	0.574975974	-0.583513423	-0.103001345	-1.141514662	-2.242890692	0.038395648	0.515527899	1.142072689	-1.110379533	0.429065296	-0.73631112	1.08424937	1.520963955	-0.156969832	0.771970656	-0.062831452	-1.963485142	0.594383726	0.3324711	0.626152351	-0.029785151	-0.849782099	0.529606149	NA	-0.716752574	0.127135356	-1.063677061	-0.720312837	-0.233633865	0.067240713	0.048478303	-0.464895961	0.64706164	-0.028336074	0.285429925	-1.04257362	0.411486382
SHR	Kidney	8	S.8.F.2.Kd.2	0.180271887	-0.130113076	0.143400751	0.540105645	-0.066636395	0.013991551	0.053517137	-0.183892385	-2.328141682	0.402580976	0.068418557	-0.265235823	0.603487858	0	0.059732229	-0.025065043	-0.161279669	0.078164679	-0.051944826	-0.218346312	0.050823186	0.076185139	-0.388271188	NA	-0.421344961	-0.009284878	-0.332432101	-0.841513144	-0.218624893	0.295786884	-0.763428935	0.014644882	-2.250449796	-0.829941803	-0.356838011	0.489557103	0.545892483	-0.331680548	0.184875306	-0.123705169	-0.268969306	0.149011003	0.595083821	0.342776835	-0.081519471	-0.027762215	0.76243678	-0.460464816	0.37647819	-0.872591806	0.753583321	0.944143615	-0.369257785	0.97837916	-0.985260765	0.010577034	-0.310889954	-0.387343786	-0.326914842	0.031254208	0.110803172	0.675322718	0.82095636	-1.192224263	0.082572735	-0.6930632	0.411179727	0.366399772	0.171596588	0.073191453	0.187310162	-0.315645132	-0.065932636	-0.21710317	-0.22710447	0.416107593	-0.902866439	-0.105331911	-1.752791996	0.03655485	-0.004292634	-0.215041731	0.505178743	NA	0.477183603	0.511140553	-0.416090041	0.380992489	0.029416952	0.057463258	0.41550203	0.124608752
SHR	Kidney	8	S.8.F.4.Kd.1	0.332223778	-0.020079115	-0.038421473	0.151531446	-0.036462934	-0.473848344	-0.457841461	-0.486104697	-2.931273481	0.49920981	-0.465537839	-0.600314092	-0.076831721	-1.227361199	-0.385112251	-0.488135841	0.017739707	-0.219380502	-0.44428114	-0.01626368	-0.05751294	0.38961978	-0.225407807	-2.404823859	-0.42140379	-0.166470247	-0.037982739	-0.053095303	-0.257103422	0.001608296	0.232573156	-0.740439476	-1.444427955	-0.742241438	-0.00578593	-0.211569387	-0.791677166	-0.922769423	0.049505988	NA	-0.33668451	-0.152947977	-0.671398817	-0.538885883	-0.260237056	-0.250511235	-0.109019923	-0.014014645	-1.5861167	0.303005086	0.431861352	1.026357197	-0.455460594	-0.104225539	-1.063893894	-0.352748525	0.058542017	0.553877485	0.242806949	-2.138971351	-0.037170762	0.840839529	-0.361033668	-0.991266052	-0.473812664	-1.193773529	0.730552532	-0.986923327	0.308581708	-0.683876114	0.48610488	0.218401319	-0.425385329	0.031381718	-0.1777152	0.44713343	0.235039412	-0.79935601	1.287395495	0.24985589	0.02131262	-0.02981221	0.088128324	-2.210272394	0.373296024	0.597868712	-0.0765956	1.05156351	0.259913883	-0.414516304	-0.146294484	0.296044779
WKY	Kidney	8	W.8.1.Kd.1	0.015817803	0.020079115	-0.89209071	-0.225174149	-0.169275762	-0.298941697	0.25424053	-0.581966321	2.218765569	-0.399833175	-0.173500399	-0.531860147	0.065477644	-1.052624674	-0.343782679	-0.259783509	-0.595789924	-0.325607924	-0.51960634	0.123037965	-0.013980779	-0.722106365	0.067232868	-0.643909354	-0.277386825	0.259230471	-0.289267887	-0.005707158	-0.230029877	-0.390192691	-0.613568039	-0.02401049	-0.111471	0.156284623	-0.222302194	0.581355282	0.411208129	-0.419433253	-0.481843313	NA	-0.424426903	-0.216069795	-0.250936987	-0.283646383	0.092887352	-0.169152397	0.110400355	-0.22072102	0.465805634	0.04626435	-0.984609443	-0.877651109	-0.518991558	-0.452577094	0.180340919	-0.1355847	-0.215790248	-0.21474123	-0.396359616	2.77909622	0.145072681	0.237271535	-0.3440299	0.460935086	-0.022327308	-0.109826914	0.270527488	1.438137892	-0.575914346	0.322738123	-0.510077434	-0.829433016	0.024070533	-0.127769817	-0.016734233	-0.593313998	0.014730067	1.14791289	-1.71267392	-0.692595175	-0.488902517	-0.427263135	-1.326277201	0.453742461	-0.219678591	-0.440057681	0.405100605	0.040415666	-0.240704758	-0.238094014	-1.627900154	-0.200622664
WKY	Kidney	8	W.8.2.Kd.1	-0.237723561	-0.023377394	0.040538045	0.024987257	0.04100545	-0.206033041	0.12087165	-0.113891779	1.788747501	-0.371768141	-0.008916488	0.807296309	0.238517271	0.008948642	-0.219977528	0.042256566	-0.133143671	-0.050197649	-0.421331012	-0.5216405	-0.955581637	-0.069428079	0.390159884	-0.360098628	0.095062881	0.022552235	-0.317513109	0.005707158	-0.014243141	-0.055782598	-0.365341343	0.094474259	0.056344756	0.218861209	-0.330717788	0.124838565	0.165797995	0.32848718	-0.303028329	NA	0.155535462	-0.194156417	-0.418393167	-0.108679855	0.47247793	-0.15783273	0.606040842	0.143828177	-0.517228443	0.303505407	0.016026943	-0.442657823	0.43151509	-0.234708918	1.010486376	-0.010577034	0.045025258	-0.025897124	-0.2518859	0	0.032300008	1.205669451	-0.42794059	1.510007164	-0.168122852	1.089509812	0.238231604	0.495069334	0.02032859	0.021696689	-0.261311503	-0.18567958	-0.049294835	-0.163139046	0.218374413	-0.309583732	-0.014730067	0.093382261	NA	0.203992117	0.306086112	-0.089736868	-0.769297175	1.542371377	-0.142714855	-0.077922185	0.713549221	0.278328874	-0.232265882	-0.157404249	-0.419987252	-0.242370948
WKY	Kidney	8	W.8.F.3.Kd.1	-0.015817803	0.410066484	-0.831775823	0.085101765	-0.010294846	-0.086151429	0.040523361	0.040262102	1.988106589	0.471222437	0.191757678	0.930875367	-0.540603072	0.30078126	-0.082063968	0.093280858	0.126748652	-0.099880313	-0.268430756	-0.113667502	0.743656033	-0.267380721	0.871353222	0.81550194	0.579665579	0.406086082	0.219705039	0.390104376	0.379773807	-0.155340861	0.268013445	0.371320615	1.031310704	0.532114182	0.366048299	0.324227653	-0.470217917	0.353974458	0.094074556	NA	-0.060123381	-0.079589884	-0.486889419	0.309140911	-0.02255468	0.183382168	-0.183500713	0.352745714	-0.443564121	0.627189834	0.224217621	0.693408215	0.181054081	-0.52186656	0.875766575	0.062084104	0.307404306	0.499485614	0.553474378	-2.172369552	0.263235123	0.439805478	-0.471652888	1.289987277	-0.353721865	1.00121137	0.331166937	0.231320272	0.076171947	0.09322159	0.086784593	-0.003372592	0.232392844	0.169756934	-0.063069355	-0.096708203	0.655589531	-0.062476031	NA	0.389445491	-0.149257987	0.363124459	-0.708502827	0.235477635	-0.157475137	0.091083913	0.985349319	0.225745962	0.054774334	-0.036573762	0.324313002	0.298231376
SHR	Kidney	10	S.10.F.1.Kd.1	-0.211498588	0.775552059	0.74677452	-0.06718234	-0.101412421	-0.013991551	-0.682659916	-0.325944875	-2.814263777	-0.15576606	-0.261151113	-0.799312278	0.647066153	-1.538551035	-0.059087409	0.126284841	-0.257275834	-0.051047547	0.247585982	0.150759453	-0.764292921	-0.487387316	0.946572047	-0.859089755	0.595033514	0.586071297	0.219613354	1.223486481	1.036074242	-0.208796901	0.78962631	-0.191499708	NA	-1.513235035	0.272047405	-0.527557723	-1.197069832	-0.061208066	-0.312814225	NA	0	-0.357088479	0.582386066	-0.146759754	-0.027197331	-0.003047178	0.829524853	0.844624659	0.331221845	1.31288123	-2.529466034	NA	0.017148254	0.114590125	-1.33002155	0.136996339	1.035138022	0.971613119	0.654618143	0.237361523	-0.158521872	0.398192733	0.241371573	-0.339600048	0.62624511	-1.579868615	-0.105546602	0.285770587	-0.148738138	0.055099065	0.072011793	0.496217573	0.370071138	0.21646577	0.021733515	0.542525559	1.304072816	0.225493834	1.430298729	0.073137656	0.126429968	0.682924835	-0.570014892	NA	-0.295075462	0.351909918	0.936839144	0.204103009	0.004841487	0.237861097	-0.757970705	-0.257935141
SHR	Kidney	10	S.10.F.2.Kd.1	-0.244156738	0.522014869	-0.728090438	NA	-0.039574869	-0.136610156	-0.123524776	-0.076921496	-2.237296377	0.056932468	-0.14070198	-0.364050458	-0.237544717	0.252128335	-0.292571288	0.019655996	-0.288745241	-0.072071777	-0.128159734	0.417205903	0.504917171	0.112873354	0.385228617	-2.073164635	0.424314974	0.390155477	-0.050407006	0.772053361	0.252114832	0.098782195	0.35633921	-0.214935903	-0.356225541	-0.979212655	0.244387574	-0.037446413	-0.187370072	-0.36189877	-0.065419008	-1.017854004	-0.113487332	-0.031759044	0.320232075	0.042637129	-0.466185681	-0.128200152	0.451836522	0.75288317	0.320846156	0.789917969	-0.269414084	0.34173768	-0.43888084	0.355466985	-0.7504277	0.063083199	0.481485211	0.41052904	0.507983733	1.659163013	-0.1533977	-0.707435377	0.4764813	-0.261647968	0.216439441	-1.045304455	-0.108371697	-0.052898343	-0.398486468	-0.10507608	-0.072603509	0.804619353	-0.024070533	-0.031381718	0.010786836	0.081119534	0.681322806	0.087144274	1.072547279	0.185347243	-0.117683085	0.616684384	0.006089288	0	0.324792188	0.064134828	0.583029974	-0.014251499	-0.04185137	-0.15437665	-0.054759415	0.048502791
SHR	Kidney	10	S.10.F.4.Kd.1	0.311552282	-0.349535531	-0.173080178	0.27075087	0.010294846	-0.168142362	-0.114780228	0.192666383	-2.902944907	0.246287794	0.119721887	0.031667122	0.799264434	-0.064701975	0.098039688	-0.442498123	0.163967779	-0.380834347	-0.176926041	0.286620834	0.998763271	0.238282314	-0.405609373	NA	-0.086217876	-0.119768262	0.217417554	-0.019913519	-0.221579358	-0.179298504	0.15533323	0.073267978	-0.098722581	-1.504946105	-0.030421185	-0.476332282	-0.643149982	0.159916126	-0.041472362	0.656470737	0.062640325	0.048970784	0.057238722	0.044174673	-0.461880121	-0.545684247	0.190364923	0.07936848	-0.845627678	0.22031589	0.293194487	NA	0.29628153	NA	-0.79672351	-0.292533291	-0.142229409	0.54713153	0.807643533	0.158089203	-0.026654076	0.241423814	0.019724548	-0.437709337	0.270178041	-0.563303815	-0.226752372	-0.417409423	0.137236203	-0.228763683	0.209725765	0.492497163	0.774826672	0.626973436	0.087735388	0.8275513	0.509794566	-0.247638166	1.292223749	0.550060422	-0.071712172	0.637187465	-0.066538852	0.16312428	0.225314528	0.540861628	-0.266793696	-0.096621724	0.023070647	0.118351299	2.522187972	0.21513259
WKY	Kidney	10	W.10.F.1.Kd.1	-0.143940723	-1.016942476	-0.177969343	0.039634895	-0.10438707	0.02520655	0.312367859	-0.014416594	2.320198559	-0.344757115	-0.015169906	0.163838037	0.376268618	1.46617889	-0.008469142	0.296655903	-0.280174109	-0.027399424	0.056294571	-0.376187822	-1.217344286	-0.946579721	-0.336429248	0.27164437	-0.883080461	-0.554006738	-0.611854931	-1.188462414	-0.933875403	-0.254906708	-1.004834105	0.518798026	0.227284404	0.352190215	-0.56610254	0.037446413	0.813187333	0.360518317	-0.336145712	NA	0.220965257	-0.085724466	0.339878304	0.145808181	0.282704885	0.130569769	-0.086993103	-0.878887376	1.170449677	-1.148641596	-0.628336699	NA	-0.043455963	-0.02624717	0.607391795	0.017481474	-0.680951964	-0.288576806	-0.683995262	-0.894393122	0.038791984	0.582850898	0.321984924	0.155533828	0.010038145	-0.01175876	0.440468845	1.071870862	-0.017658323	0.635690932	-0.091349432	-1.685963962	0.518063867	0.261539842	0.263080189	-0.339436345	-1.039131709	-0.008869091	NA	-0.065829471	0.035343596	-1.091429381	-0.058980417	-0.197157845	0.248046433	-0.430989307	-0.630893351	-0.387369114	0.034225876	0.192146872	-1.0687986	0.074174298
